timepoint_id,sample_id,beta_param,gamma_param,delta_param,alpha_param,epsilon_param,zeta_param,lambda_param,eta_param,rho_param,theta_param,kappa_param,mu_param,nu_param,xi_param,tau_param,sigma_param,Ailing_sol,Diagnosed_sol,Extinct_sol,Healed_sol,Infected_sol,Recognized_sol,Susceptible_sol,Threatened_sol,Cases_obs,Hospitalizations_obs,Deaths_obs
12,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,3.895525151165202e-05,0.00010242687130812556,1.1884659301131251e-07,3.260243829572573e-05,0.0002726297243498266,6.022632078384049e-05,0.9994871020317078,5.7796205510385334e-06,0.00016843281264300458,6.600594133487903e-05,1.1884659301131251e-07
13,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,5.666329161613248e-05,0.00014904153067618608,1.8082950248299312e-07,4.7732031816849485e-05,0.0003965033683925867,8.8037624664139e-05,0.9992533326148987,8.546717253921088e-06,0.0002456258725942462,9.658434191806009e-05,1.8082950248299312e-07
14,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,8.241076284321025e-05,0.00021681745420210063,2.7224947984905157e-07,6.974801362957805e-05,0.0005765584646724164,0.0001284748432226479,0.9989131689071655,1.2579796930367593e-05,0.00035787209435511613,0.0001410546401530155,2.7224947984905157e-07
15,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.00011983659351244569,0.00031533974106423557,4.06553908760543e-07,0.00010177309741266072,0.0008381542284041643,0.00018726706912275404,0.9984181523323059,1.8453192751621827e-05,0.0005210600029386114,0.00020572026187437586,4.06553908760543e-07
16,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.0001742136519169435,0.00045850410242564976,6.032911983311351e-07,0.0001483396627008915,0.0012179611949250102,0.0002727340906858444,0.9977006316184998,2.7001529815606773e-05,0.000758239722927101,0.0002997356205014512,6.032911983311351e-07
17,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.00025316906976513565,0.0006664242828264832,8.908702398002788e-07,0.00021601852495223284,0.0017688620137050748,0.0003969453973695636,0.996658205986023,3.943674164474942e-05,0.0011028064218407962,0.000436382139014313,8.908702398002788e-07
18,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.00036770437145605683,0.0009681428782641888,1.3105606058161356e-06,0.0003143193607684225,0.0025668011512607336,0.0005773871671408415,0.9951471090316772,5.7517216191627085e-05,0.0016030472615966573,0.0006349043833324686,1.3105606058161356e-06
19,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.0005336267058737576,0.0014054527273401618,1.9222854916733922e-06,0.00045697379391640425,0.003720172680914402,0.0008393448079004884,0.992958664894104,8.379107748623937e-05,0.0023285886127268896,0.0009231358853867278,1.9222854916733922e-06
20,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.0007735181134194136,0.002038187813013792,2.8129611564509105e-06,0.0006637381738983095,0.005382368341088295,0.00121927575673908,0.9897981882095337,0.00012194336159154773,0.0033794069313444197,0.0013412191183306277,2.8129611564509105e-06
21,0,0.012326926924288273,0.4592083990573883,0.01054250355809927,0.6353188753128052,0.19905555248260498,0.10563966631889343,0.028200119733810425,0.1251836121082306,0.029427047818899155,0.3329450190067291,0.013787520118057728,0.017826629802584648,0.02908124402165413,0.018433401361107826,0.008759130723774433,0.020356684923171997,0.0011193656828254461,0.0029513859190046787,4.108500888833078e-06,0.0009628959815017879,0.0077675823122262955,0.0017695336136966944,0.9852468967437744,0.00017728972306940705,0.00489820925577078,0.0019468233367661014,4.108500888833078e-06
