state,date,inpatient_beds_used_covid
VI,2022/07/18,7
AS,2022/07/17,7
VI,2022/07/16,5
VI,2022/07/15,6
VI,2022/07/14,8
VI,2022/07/13,9
AS,2022/07/12,11
WY,2022/07/11,29
AS,2022/07/10,10
VI,2022/07/10,11
AS,2022/07/09,9
VI,2022/07/08,8
AS,2022/07/07,7
VI,2022/07/07,5
AS,2022/07/06,8
VI,2022/07/06,5
AS,2022/07/05,6
VI,2022/07/05,3
AS,2022/07/04,6
VI,2022/07/03,2
VI,2022/07/02,2
AS,2022/07/01,2
VI,2022/06/30,1
AS,2022/06/29,4
VI,2022/06/29,2
AS,2022/06/28,3
VI,2022/06/28,2
AS,2022/06/27,2
VI,2022/06/27,3
AS,2022/06/26,2
VT,2022/06/25,24
AS,2022/06/24,1
VI,2022/06/24,2
AS,2022/06/23,1
VI,2022/06/22,3
AS,2022/06/21,1
VI,2022/06/21,4
AS,2022/06/20,1
WV,2022/06/20,217
AS,2022/06/19,2
VI,2022/06/19,7
AS,2022/06/18,2
AK,2022/06/16,63
AS,2022/06/16,3
VI,2022/06/16,8
AS,2022/06/15,1
VI,2022/06/14,11
AS,2022/06/13,3
VI,2022/06/13,12
AS,2022/06/12,3
VI,2022/06/12,9
VI,2022/06/11,10
AS,2022/06/10,1
VI,2022/06/09,12
AS,2022/06/08,0
VI,2022/06/08,10
AS,2022/06/07,0
VI,2022/06/06,8
AS,2022/06/05,1
VT,2022/06/05,42
AS,2022/06/04,1
VI,2022/06/04,12
AS,2022/06/03,0
VI,2022/06/03,15
AS,2022/06/02,1
VI,2022/06/01,14
AS,2022/05/31,0
VI,2022/05/31,11
AS,2022/05/30,0
VI,2022/05/29,11
AS,2022/05/28,0
VI,2022/05/28,13
AS,2022/05/27,1
VT,2022/05/27,55
VI,2022/05/26,15
AS,2022/05/25,4
VI,2022/05/24,14
AS,2022/05/23,1
VI,2022/05/23,12
WY,2022/05/23,14
VI,2022/05/21,15
AS,2022/05/20,0
VI,2022/05/20,13
WY,2022/05/20,11
VI,2022/05/19,13
AS,2022/05/18,0
VI,2022/05/18,16
AS,2022/05/17,0
VT,2022/05/16,68
AS,2022/05/15,0
VI,2022/05/15,16
AS,2022/05/14,0
VI,2022/05/13,18
AS,2022/05/12,1
VT,2022/05/12,49
AS,2022/05/11,1
VI,2022/05/11,11
AS,2022/05/10,3
