timepoints,I,D
529,1290.0,20837.0
530,914.0,20837.0
531,1192.0,20859.0
532,874.0,20859.0
533,654.0,20859.0
534,1356.0,20887.0
535,1356.0,20887.0
536,1356.0,20887.0
537,1356.0,20887.0
538,1571.0,20919.0
539,1571.0,20919.0
540,1571.0,20919.0
541,1670.0,20936.0
542,1670.0,20936.0
543,1670.0,20936.0
544,1670.0,20936.0
545,2107.0,20951.0
546,2107.0,20951.0
547,2107.0,20951.0
548,2885.0,20973.0
549,2885.0,20973.0
550,2885.0,20973.0
551,2885.0,20973.0
552,3774.0,20990.0
553,3774.0,20990.0
554,3774.0,20990.0
555,4727.0,21013.0
556,4727.0,21013.0
557,4727.0,21013.0
558,4727.0,21013.0
559,5614.0,21042.0
560,5614.0,21042.0
561,5614.0,21042.0
562,7437.0,21047.0
563,7437.0,21047.0
564,7437.0,21047.0
565,10493.0,21054.0
566,7540.0,21054.0
567,10849.0,21078.0
568,10849.0,21078.0
569,9974.0,21110.0
570,9974.0,21110.0
571,9974.0,21110.0
572,10773.0,21130.0
573,10773.0,21130.0
574,10747.0,21179.0
575,10747.0,21179.0
576,11961.0,21219.0
577,11961.0,21219.0
578,11961.0,21219.0
579,12368.0,21231.0
580,12368.0,21231.0
581,14256.0,21272.0
582,14256.0,21272.0
583,13998.0,21346.0
584,13998.0,21346.0
585,13998.0,21346.0
586,15332.0,21372.0
587,15332.0,21372.0
588,15459.0,21440.0
589,15459.0,21440.0
590,16167.0,21495.0
591,16167.0,21495.0
592,16167.0,21495.0
593,10571.0,21495.0
594,17422.0,21527.0
595,15436.0,21581.0
596,15436.0,21581.0
597,17142.0,21645.0
598,17142.0,21645.0
599,17142.0,21645.0
600,24115.0,21678.0
601,17264.0,21678.0
602,21681.0,21744.0
603,21681.0,21744.0
604,21339.0,21821.0
605,21339.0,21821.0
606,21339.0,21821.0
607,22539.0,21858.0
608,22539.0,21858.0
609,22514.0,21950.0
610,22514.0,21950.0
611,22968.0,22036.0
612,22968.0,22036.0
613,22968.0,22036.0
614,23497.0,22065.0
615,23497.0,22065.0
616,24452.0,22176.0
617,24452.0,22176.0
618,26650.0,22260.0
619,26650.0,22260.0
620,26650.0,22260.0
621,27695.0,22324.0
622,27695.0,22324.0
623,28624.0,22432.0
624,28624.0,22432.0
625,29430.0,22525.0
626,29430.0,22525.0
627,29430.0,22525.0
628,29466.0,22560.0
629,29466.0,22560.0
630,30673.0,22685.0
631,30673.0,22685.0
632,30531.0,22790.0
633,30531.0,22790.0
634,30531.0,22790.0
635,30042.0,22838.0
636,30042.0,22838.0
637,27985.0,22994.0
638,27985.0,22994.0
639,27169.0,23129.0
640,27169.0,23129.0
641,27169.0,23129.0
642,26380.0,23183.0
643,26380.0,23183.0
644,27321.0,23343.0
645,27321.0,23343.0
646,27837.0,23479.0
647,27837.0,23479.0
648,27837.0,23479.0
649,29669.0,23547.0
650,29669.0,23547.0
651,31919.0,23697.0
652,31919.0,23697.0
653,34341.0,23793.0
654,34341.0,23793.0
655,34341.0,23793.0
656,34065.0,23845.0
657,34065.0,23845.0
658,31404.0,24032.0
659,31404.0,24032.0
660,36993.0,24124.0
661,36993.0,24124.0
662,36993.0,24124.0
663,50022.0,24223.0
664,50022.0,24223.0
665,58585.0,24498.0
666,58585.0,24498.0
667,61278.0,24653.0
668,61278.0,24653.0
669,61278.0,24653.0
670,56894.0,24738.0
671,56894.0,24738.0
672,59021.0,25051.0
673,59021.0,25051.0
674,38664.0,25051.0
675,38664.0,25051.0
676,38664.0,25051.0
677,47653.0,25207.0
678,47653.0,25207.0
679,47504.0,25603.0
680,47504.0,25603.0
681,69782.0,25914.0
682,69782.0,25914.0
683,69782.0,25914.0
684,59849.0,26044.0
685,59849.0,26044.0
686,58597.0,26451.0
687,58597.0,26451.0
688,50069.0,26717.0
689,50069.0,26717.0
690,50069.0,26717.0
691,49932.0,26880.0
692,49932.0,26880.0
693,45651.0,27259.0
694,45651.0,27259.0
695,46280.0,27539.0
696,46280.0,27539.0
697,46280.0,27539.0
698,43824.0,27700.0
699,43824.0,27700.0
700,45546.0,28142.0
701,45546.0,28142.0
702,31167.0,28142.0
703,31167.0,28142.0
704,31167.0,28142.0
705,50890.0,28443.0
706,50890.0,28443.0
707,63784.0,28816.0
708,63784.0,28816.0
709,63784.0,28816.0
710,63784.0,28816.0
711,63784.0,28816.0
712,93552.0,29137.0
713,93552.0,29137.0
714,97181.0,29454.0
715,97181.0,29454.0
716,143608.0,29750.0
717,143608.0,29750.0
718,143608.0,29750.0
719,127604.0,29809.0
720,127604.0,29809.0
721,130463.0,30207.0
722,130463.0,30207.0
723,126691.0,30504.0
724,126691.0,30504.0
725,126691.0,30504.0
726,78035.0,30504.0
727,78035.0,30504.0
728,140015.0,31069.0
729,140015.0,31069.0
730,137648.0,31293.0
731,137687.0,31296.0
732,137687.0,31296.0
733,181100.0,31333.0
734,181100.0,31333.0
735,118141.0,31777.0
736,118141.0,31777.0
737,108762.0,31986.0
738,108723.0,31986.0
739,108723.0,31986.0
740,88164.0,32048.0
741,88164.0,32048.0
742,77478.0,32422.0
743,77478.0,32422.0
744,58377.0,32658.0
745,58377.0,32658.0
746,58377.0,32658.0
747,46511.0,32696.0
748,46511.0,32696.0
749,33370.0,33071.0
750,33370.0,33071.0
751,29167.0,33248.0
752,29167.0,33248.0
753,29167.0,33248.0
754,24429.0,33302.0
755,24429.0,33302.0
756,20112.0,33652.0
757,20112.0,33652.0
758,17844.0,33780.0
759,17844.0,33780.0
760,17844.0,33780.0
761,11594.0,33780.0
762,11594.0,33780.0
763,12600.0,34152.0
764,12600.0,34152.0
765,14703.0,34259.0
766,14703.0,34259.0
767,14703.0,34259.0
768,17046.0,34287.0
769,17046.0,34287.0
770,12819.0,34547.0
771,12819.0,34547.0
772,7664.0,34622.0
773,7664.0,34622.0
774,7664.0,34622.0
775,7154.0,34639.0
776,7154.0,34639.0
777,6179.0,34916.0
778,6179.0,34916.0
779,5803.0,34969.0
780,5803.0,34969.0
781,5803.0,34969.0
782,5505.0,34990.0
783,5505.0,34990.0
784,5498.0,35133.0
785,5498.0,35133.0
