Timestep,Cases,Hospitalizations,Deaths
339.0,18673.0,211.0,12556.0
340.0,18673.0,271.0,12556.0
341.0,17137.0,340.0,12617.0
342.0,17780.0,320.0,12828.0
343.0,18359.0,312.0,12879.0
344.0,18359.0,234.0,12879.0
345.0,18359.0,254.0,12879.0
346.0,19172.0,260.0,13165.0
347.0,19172.0,231.0,13165.0
348.0,21214.0,338.0,13249.0
349.0,20565.0,325.0,13465.0
350.0,21424.0,315.0,13522.0
351.0,25610.0,290.0,13728.0
352.0,29169.0,312.0,13767.0
353.0,23792.0,252.0,13997.0
354.0,23792.0,223.0,13997.0
355.0,23493.0,301.0,14043.0
356.0,22974.0,260.0,14147.0
357.0,21439.0,274.0,14187.0
358.0,20479.0,263.0,14361.0
359.0,19953.0,250.0,14400.0
360.0,19242.0,165.0,14517.0
361.0,19242.0,214.0,14517.0
362.0,17602.0,232.0,14534.0
363.0,16448.0,211.0,14550.0
364.0,16604.0,218.0,14618.0
365.0,15886.0,219.0,14780.0
366.0,15352.0,186.0,14797.0
367.0,15023.0,135.0,15027.0
368.0,15023.0,158.0,15027.0
369.0,14471.0,175.0,15064.0
370.0,15434.0,177.0,15148.0
371.0,14154.0,162.0,15157.0
372.0,13855.0,154.0,15245.0
373.0,13392.0,164.0,15253.0
374.0,13159.0,127.0,15367.0
375.0,13159.0,110.0,15367.0
376.0,12773.0,180.0,15377.0
377.0,11798.0,174.0,15450.0
378.0,11505.0,138.0,15483.0
379.0,11126.0,148.0,15564.0
380.0,10745.0,145.0,15588.0
381.0,10380.0,119.0,15691.0
382.0,10380.0,97.0,15691.0
383.0,9877.0,138.0,15700.0
384.0,9421.0,120.0,15762.0
385.0,9020.0,122.0,15775.0
386.0,8623.0,121.0,15855.0
387.0,8439.0,88.0,15864.0
388.0,8141.0,77.0,15956.0
389.0,8141.0,89.0,15956.0
390.0,7444.0,105.0,15966.0
391.0,7561.0,95.0,15984.0
392.0,7446.0,100.0,15995.0
393.0,7163.0,105.0,16087.0
394.0,7134.0,107.0,16111.0
395.0,7038.0,78.0,16179.0
396.0,7038.0,77.0,16179.0
397.0,7296.0,107.0,16180.0
398.0,7927.0,96.0,16217.0
399.0,8249.0,113.0,16226.0
400.0,8655.0,101.0,16273.0
401.0,8454.0,107.0,16275.0
402.0,9069.0,94.0,16344.0
403.0,9069.0,81.0,16344.0
404.0,9297.0,114.0,16355.0
405.0,9229.0,96.0,16380.0
406.0,9380.0,128.0,16386.0
407.0,9574.0,117.0,16425.0
408.0,10096.0,123.0,16437.0
409.0,10353.0,122.0,16494.0
410.0,10353.0,121.0,16494.0
411.0,10741.0,152.0,16498.0
412.0,10633.0,133.0,16528.0
413.0,11587.0,159.0,16536.0
414.0,12249.0,140.0,16557.0
415.0,13342.0,138.0,16564.0
416.0,13661.0,148.0,16604.0
417.0,13661.0,155.0,16604.0
418.0,15223.0,178.0,16614.0
419.0,16254.0,209.0,16640.0
420.0,17373.0,214.0,16644.0
421.0,17910.0,236.0,16678.0
422.0,19423.0,218.0,16692.0
423.0,20676.0,237.0,16741.0
424.0,20676.0,252.0,16741.0
425.0,22596.0,317.0,16747.0
426.0,24562.0,317.0,16767.0
427.0,25875.0,361.0,16784.0
428.0,28667.0,299.0,16838.0
429.0,30311.0,285.0,16858.0
430.0,32287.0,370.0,16882.0
431.0,32287.0,361.0,16882.0
432.0,35777.0,429.0,16891.0
433.0,37545.0,475.0,16943.0
434.0,39555.0,493.0,16954.0
435.0,40828.0,461.0,17008.0
436.0,40919.0,505.0,17028.0
437.0,44964.0,505.0,17092.0
438.0,44964.0,496.0,17092.0
439.0,46789.0,642.0,17115.0
440.0,46625.0,590.0,17174.0
441.0,48928.0,607.0,17204.0
442.0,50411.0,645.0,17281.0
443.0,53111.0,593.0,17310.0
444.0,51356.0,591.0,17394.0
445.0,51356.0,553.0,17394.0
446.0,50830.0,697.0,17406.0
447.0,54954.0,634.0,17486.0
448.0,54894.0,588.0,17521.0
449.0,53561.0,661.0,17644.0
450.0,54557.0,615.0,17686.0
451.0,53111.0,519.0,17762.0
452.0,53111.0,510.0,17762.0
453.0,51738.0,555.0,17824.0
454.0,48054.0,499.0,17913.0
455.0,44704.0,489.0,17957.0
456.0,42984.0,491.0,18077.0
457.0,38805.0,430.0,18109.0
458.0,37945.0,365.0,18235.0
459.0,37945.0,390.0,18235.0
460.0,35853.0,403.0,18273.0
461.0,33850.0,421.0,18390.0
462.0,32791.0,380.0,18427.0
463.0,31449.0,374.0,18543.0
464.0,29672.0,344.0,18582.0
