timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,persistent_S0_param,persistent_I0_param,persistent_R0_param,persistent_zeta_param,S_state,I_state,R_state,noninf_observable_state
34,22,34.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,121.26820373535156,1556.4530029296875,323.27886962890625,444.54705810546875
35,22,35.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,93.98262786865234,1554.3394775390625,352.6778259277344,446.66046142578125
36,22,36.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,72.89958953857422,1546.1241455078125,381.9765625,454.87615966796875
37,22,37.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,56.64474105834961,1533.2808837890625,411.0743103027344,467.71905517578125
38,22,38.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,44.12012481689453,1516.9844970703125,439.89508056640625,484.01519775390625
39,22,39.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,34.46421813964844,1498.1527099609375,468.38287353515625,502.84710693359375
40,22,40.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,27.009008407592773,1477.491455078125,496.4969482421875,523.5059814453125
41,22,41.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,21.24060821533203,1455.552490234375,524.20703125,545.4476318359375
42,22,42.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,16.76559829711914,1432.740234375,551.4942016601562,568.2598266601562
43,22,43.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,13.283608436584473,1409.370849609375,578.3447875976562,591.62841796875
44,22,44.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,10.565441131591797,1385.6845703125,604.7500610351562,615.3154907226562
45,22,45.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,8.436267852783203,1361.856201171875,630.707275390625,639.1435546875
46,22,46.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,6.762535095214844,1338.0250244140625,656.2124633789062,662.9749755859375
47,22,47.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,5.442031383514404,1314.2894287109375,681.26904296875,686.7110595703125
48,22,48.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,4.396385669708252,1290.7252197265625,705.8785400390625,710.27490234375
49,22,49.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,3.565324306488037,1267.3896484375,730.0449829101562,733.6102905273438
50,22,50.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,2.9023709297180176,1244.3248291015625,753.7728881835938,756.6752319335938
51,22,51.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,2.371577024459839,1221.5604248046875,777.06787109375,779.439453125
52,22,52.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,1.9450440406799316,1199.1199951171875,799.9359741210938,801.8810424804688
53,22,53.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,1.6010578870773315,1177.01611328125,822.3828125,823.98388671875
54,22,54.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,1.322648286819458,1155.26123046875,844.4155883789062,845.7382202148438
55,22,55.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,1.0965203046798706,1133.862060546875,866.0409545898438,867.137451171875
56,22,56.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.9122188091278076,1112.8228759765625,887.2647094726562,888.1769409179688
57,22,57.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.761491596698761,1092.143798828125,908.0946044921875,908.8560791015625
58,22,58.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.6378076076507568,1071.82470703125,928.5374755859375,929.17529296875
59,22,59.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.5359787344932556,1051.8646240234375,948.6007080078125,949.1366577148438
60,22,60.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.4518684148788452,1032.2601318359375,968.2879028320312,968.73974609375
61,22,61.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.3821720778942108,1013.008544921875,987.6091918945312,987.9913940429688
