timepoint_id,sample_id,model_0/beta_param,model_0/gamma_param,model_1/beta_param,model_1/gamma_param,model_1/delta_param,model_1/alpha_param,model_1/epsilon_param,model_1/zeta_param,model_1/lambda_param,model_1/eta_param,model_1/rho_param,model_1/theta_param,model_1/kappa_param,model_1/mu_param,model_1/nu_param,model_1/xi_param,model_1/tau_param,model_1/sigma_param,model_0_weight,model_1_weight,I_sol,R_sol,S_sol,timepoint_days
5,4,0.027546420693397522,0.16882172226905823,0.009793517179787159,0.3769325613975525,0.010956934653222561,0.5462198257446289,0.15456385910511017,0.13506938517093658,0.034389838576316833,0.11193730682134628,0.03169042617082596,0.315273255109787,0.014430319890379906,0.01569535583257675,0.030356649309396744,0.01438925601541996,0.011691217310726643,0.015476569533348083,0.9740213751792908,0.02597862482070923,5.701708793640137,6.034160614013672,989.2382202148438,50.0
0,5,0.026764942333102226,0.10764753073453903,0.009948943741619587,0.508306622505188,0.011781500652432442,0.6629067659378052,0.13920123875141144,0.13049659132957458,0.02773803099989891,0.12171950936317444,0.027618268504738808,0.3167760968208313,0.017574438825249672,0.01891510747373104,0.03148218244314194,0.018215641379356384,0.008332966826856136,0.016489854082465172,0.9324695467948914,0.06753045320510864,0.9327182769775391,1.0038497810782587e-11,999.999755859375,0.0
1,5,0.026764942333102226,0.10764753073453903,0.009948943741619587,0.508306622505188,0.011781500652432442,0.6629067659378052,0.13920123875141144,0.13049659132957458,0.02773803099989891,0.12171950936317444,0.027618268504738808,0.3167760968208313,0.017574438825249672,0.01891510747373104,0.03148218244314194,0.018215641379356384,0.008332966826856136,0.016489854082465172,0.9324695467948914,0.06753045320510864,0.8604159951210022,0.09643348306417465,999.9755249023438,1.0
2,5,0.026764942333102226,0.10764753073453903,0.009948943741619587,0.508306622505188,0.011781500652432442,0.6629067659378052,0.13920123875141144,0.13049659132957458,0.02773803099989891,0.12171950936317444,0.027618268504738808,0.3167760968208313,0.017574438825249672,0.01891510747373104,0.03148218244314194,0.018215641379356384,0.008332966826856136,0.016489854082465172,0.9324695467948914,0.06753045320510864,0.7938355207443237,0.18537868559360504,999.9539794921875,2.0
3,5,0.026764942333102226,0.10764753073453903,0.009948943741619587,0.508306622505188,0.011781500652432442,0.6629067659378052,0.13920123875141144,0.13049659132957458,0.02773803099989891,0.12171950936317444,0.027618268504738808,0.3167760968208313,0.017574438825249672,0.01891510747373104,0.03148218244314194,0.018215641379356384,0.008332966826856136,0.016489854082465172,0.9324695467948914,0.06753045320510864,0.7325934171676636,0.2674213945865631,999.9326171875,3.0
4,5,0.026764942333102226,0.10764753073453903,0.009948943741619587,0.508306622505188,0.011781500652432442,0.6629067659378052,0.13920123875141144,0.13049659132957458,0.02773803099989891,0.12171950936317444,0.027618268504738808,0.3167760968208313,0.017574438825249672,0.01891510747373104,0.03148218244314194,0.018215641379356384,0.008332966826856136,0.016489854082465172,0.9324695467948914,0.06753045320510864,0.6763693690299988,0.3431034982204437,999.9131469726562,4.0
5,5,0.026764942333102226,0.10764753073453903,0.009948943741619587,0.508306622505188,0.011781500652432442,0.6629067659378052,0.13920123875141144,0.13049659132957458,0.02773803099989891,0.12171950936317444,0.027618268504738808,0.3167760968208313,0.017574438825249672,0.01891510747373104,0.03148218244314194,0.018215641379356384,0.008332966826856136,0.016489854082465172,0.9324695467948914,0.06753045320510864,3.370382070541382,25.79715919494629,971.7649536132812,50.0
0,6,0.027990121394395828,0.13521236181259155,0.01050062756985426,0.4660007059574127,0.012250593863427639,0.6418758630752563,0.14930640161037445,0.1295640468597412,0.03636946529150009,0.10672839730978012,0.040291011333465576,0.4384511113166809,0.015466379001736641,0.019890431314706802,0.023777810856699944,0.014826959930360317,0.011889198794960976,0.013726775534451008,0.9958353042602539,0.004164695739746094,0.9958506226539612,1.3464980866406684e-11,1000.0,0.0
1,6,0.027990121394395828,0.13521236181259155,0.01050062756985426,0.4660007059574127,0.012250593863427639,0.6418758630752563,0.14930640161037445,0.1295640468597412,0.03636946529150009,0.10672839730978012,0.040291011333465576,0.4384511113166809,0.015466379001736641,0.019890431314706802,0.023777810856699944,0.014826959930360317,0.011889198794960976,0.013726775534451008,0.9958353042602539,0.004164695739746094,0.8945840001106262,0.12768076360225677,999.9739379882812,1.0
2,6,0.027990121394395828,0.13521236181259155,0.01050062756985426,0.4660007059574127,0.012250593863427639,0.6418758630752563,0.14930640161037445,0.1295640468597412,0.03636946529150009,0.10672839730978012,0.040291011333465576,0.4384511113166809,0.015466379001736641,0.019890431314706802,0.023777810856699944,0.014826959930360317,0.011889198794960976,0.013726775534451008,0.9958353042602539,0.004164695739746094,0.8036215305328369,0.24237684905529022,999.9498291015625,2.0
3,6,0.027990121394395828,0.13521236181259155,0.01050062756985426,0.4660007059574127,0.012250593863427639,0.6418758630752563,0.14930640161037445,0.1295640468597412,0.03636946529150009,0.10672839730978012,0.040291011333465576,0.4384511113166809,0.015466379001736641,0.019890431314706802,0.023777810856699944,0.014826959930360317,0.011889198794960976,0.013726775534451008,0.9958353042602539,0.004164695739746094,0.721916139125824,0.34540948271751404,999.9306640625,3.0
4,6,0.027990121394395828,0.13521236181259155,0.01050062756985426,0.4660007059574127,0.012250593863427639,0.6418758630752563,0.14930640161037445,0.1295640468597412,0.03636946529150009,0.10672839730978012,0.040291011333465576,0.4384511113166809,0.015466379001736641,0.019890431314706802,0.023777810856699944,0.014826959930360317,0.011889198794960976,0.013726775534451008,0.9958353042602539,0.004164695739746094,0.648533284664154,0.4379640221595764,999.9105834960938,4.0
5,6,0.027990121394395828,0.13521236181259155,0.01050062756985426,0.4660007059574127,0.012250593863427639,0.6418758630752563,0.14930640161037445,0.1295640468597412,0.03636946529150009,0.10672839730978012,0.040291011333465576,0.4384511113166809,0.015466379001736641,0.019890431314706802,0.023777810856699944,0.014826959930360317,0.011889198794960976,0.013726775534451008,0.9958353042602539,0.004164695739746094,0.3110778033733368,2.6363258361816406,998.0487670898438,50.0
0,7,0.02795952372252941,0.16349497437477112,0.012335044331848621,0.5001715421676636,0.009473992511630058,0.5444872975349426,0.17907720804214478,0.12125195562839508,0.038302283734083176,0.13073959946632385,0.033850185573101044,0.4215095639228821,0.01533869095146656,0.01564144343137741,0.024415334686636925,0.015701066702604294,0.011260142549872398,0.016184840351343155,0.9963176250457764,0.003682374954223633,0.9963312149047852,1.6289344872966183e-11,1000.0,0.0
1,7,0.02795952372252941,0.16349497437477112,0.012335044331848621,0.5001715421676636,0.009473992511630058,0.5444872975349426,0.17907720804214478,0.12125195562839508,0.038302283734083176,0.13073959946632385,0.033850185573101044,0.4215095639228821,0.01533869095146656,0.01564144343137741,0.024415334686636925,0.015701066702604294,0.011260142549872398,0.016184840351343155,0.9963176250457764,0.003682374954223633,0.8700278997421265,0.15233483910560608,999.9739990234375,1.0
