timepoint_id,sample_id,timepoint_unknown,alpha,beta,delta,epsilon,eta,gamma,kappa,lambda,mu,nu,rho,theta,xi,zeta,tau,sigma,Susceptible,Diagnosed,Infected,Ailing,Recognized,Healed,Threatened,Extinct,TotalInfected,R0
10,0,10.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9998515248298645,2.6389005142846145e-05,7.423783972626552e-05,1.2911244994029403e-05,2.109843262587674e-05,1.1768427611968946e-05,1.9847143448714633e-06,4.650516061133203e-08,0.00013662123819813132,2.3621532917022705
11,0,11.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9997942447662354,3.6461238778429106e-05,0.00010241775453323498,1.7814143575378694e-05,2.9555605578934774e-05,1.6522957594133914e-05,2.8543031476147007e-06,7.049985129015113e-08,0.0001891030406113714,2.3621532917022705
12,0,12.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9997144937515259,5.034866262576543e-05,0.0001412950805388391,2.457754817442037e-05,4.1210634663002566e-05,2.309357478225138e-05,4.062641437485581e-06,1.0481032575171412e-07,0.0002614945697132498,2.3621532917022705
13,0,13.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9996063709259033,6.950059469090775e-05,0.0001949254801729694,3.390775964362547e-05,5.727683310396969e-05,3.216928962501697e-05,5.737746960221557e-06,1.534366305122603e-07,0.00036134838592261076,2.3621532917022705
14,0,14.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9994559288024902,9.591470734449103e-05,0.00026889651780948043,4.677813922171481e-05,7.942811498651281e-05,4.470040585147217e-05,8.056215847318526e-06,2.2189124138094485e-07,0.0004990737070329487,2.3621532917022705
15,0,15.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9992485046386719,0.0001323440665146336,0.00037090302794240415,6.452993693528697e-05,0.0001099726214306429,6.1996906879358e-05,1.126163624576293e-05,3.177721907832165e-07,0.0006890112417750061,2.3621532917022705
16,0,16.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9989628195762634,0.00018258162890560925,0.0005115350359119475,8.901043474907055e-05,0.00015209283446893096,8.586484182160348e-05,1.568994230183307e-05,4.515559055562335e-07,0.0009509098599664867,2.3621532917022705
17,0,17.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9985685348510742,0.00025184894911944866,0.0007053504232317209,0.00012276190682314336,0.00021017466497141868,0.00011879220983246341,2.1804326024721377e-05,6.37686753179878e-07,0.001311940373852849,2.3621532917022705
18,0,18.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9980252981185913,0.00034732912899926305,0.0009723318507894874,0.0001692799269221723,0.00029025913681834936,0.0001642052229726687,3.024322541023139e-05,8.960798254520341e-07,0.001809443230740726,2.3621532917022705
19,0,19.0,0.56766676902771,0.010920585133135319,0.01089354045689106,0.17201335728168488,0.12610778212547302,0.4559139311313629,0.01689385436475277,0.03390246629714966,0.016961947083473206,0.02694275602698326,0.0341031476855278,0.3695681691169739,0.016917472705245018,0.1261531263589859,0.010016119107604027,0.0171470046043396,0.9972772002220154,0.00047889072448015213,0.0013398559531196952,0.000233363825827837,0.00040066245128400624,0.0002268173120683059,4.188619277556427e-05,1.254186713595118e-06,0.002494659274816513,2.3621532917022705
